project,article,granularity,timestamp,access,agent,views,gender
en.wikipedia,Mary_Anning,monthly,2020-01-01,all-access,all-agents,28741,female
en.wikipedia,Mary_Anning,monthly,2020-02-01,all-access,all-agents,26026,female
en.wikipedia,Mary_Anning,monthly,2020-03-01,all-access,all-agents,28446,female
en.wikipedia,Mary_Anning,monthly,2020-04-01,all-access,all-agents,23194,female
en.wikipedia,Mary_Anning,monthly,2020-05-01,all-access,all-agents,23845,female
en.wikipedia,Mary_Anning,monthly,2020-06-01,all-access,all-agents,24680,female
en.wikipedia,Mary_Anning,monthly,2020-07-01,all-access,all-agents,18462,female
en.wikipedia,Mary_Anning,monthly,2020-08-01,all-access,all-agents,77762,female
en.wikipedia,Mary_Anning,monthly,2020-09-01,all-access,all-agents,50810,female
en.wikipedia,Mary_Anning,monthly,2020-10-01,all-access,all-agents,47694,female
en.wikipedia,Mary_Anning,monthly,2020-11-01,all-access,all-agents,44519,female
en.wikipedia,Mary_Anning,monthly,2020-12-01,all-access,all-agents,87415,female
en.wikipedia,Mary_Anning,monthly,2021-01-01,all-access,all-agents,72021,female
en.wikipedia,Mary_Anning,monthly,2021-02-01,all-access,all-agents,62382,female
en.wikipedia,Mary_Anning,monthly,2021-03-01,all-access,all-agents,89745,female
en.wikipedia,Mary_Anning,monthly,2021-04-01,all-access,all-agents,55102,female
en.wikipedia,Mary_Anning,monthly,2021-05-01,all-access,all-agents,44914,female
en.wikipedia,Mary_Anning,monthly,2021-06-01,all-access,all-agents,36799,female
en.wikipedia,Mary_Anning,monthly,2021-07-01,all-access,all-agents,32166,female
en.wikipedia,Mary_Anning,monthly,2021-08-01,all-access,all-agents,27616,female
en.wikipedia,Mary_Anning,monthly,2021-09-01,all-access,all-agents,31735,female
en.wikipedia,Mary_Anning,monthly,2021-10-01,all-access,all-agents,43140,female
en.wikipedia,Mary_Anning,monthly,2021-11-01,all-access,all-agents,45400,female
en.wikipedia,Mary_Anning,monthly,2021-12-01,all-access,all-agents,28852,female
en.wikipedia,Mary_Anning,monthly,2022-01-01,all-access,all-agents,38784,female
en.wikipedia,Mary_Anning,monthly,2022-02-01,all-access,all-agents,31199,female
en.wikipedia,Mary_Anning,monthly,2022-03-01,all-access,all-agents,39770,female
en.wikipedia,Mary_Anning,monthly,2022-04-01,all-access,all-agents,27709,female
en.wikipedia,Mary_Anning,monthly,2022-05-01,all-access,all-agents,46133,female
en.wikipedia,Mary_Anning,monthly,2022-06-01,all-access,all-agents,37037,female
en.wikipedia,Mary_Anning,monthly,2022-07-01,all-access,all-agents,24619,female
en.wikipedia,Mary_Anning,monthly,2022-08-01,all-access,all-agents,25452,female
en.wikipedia,Mary_Anning,monthly,2022-09-01,all-access,all-agents,31173,female
en.wikipedia,Mary_Anning,monthly,2022-10-01,all-access,all-agents,34753,female
en.wikipedia,Mary_Anning,monthly,2022-11-01,all-access,all-agents,36786,female
en.wikipedia,Mary_Anning,monthly,2022-12-01,all-access,all-agents,24698,female
en.wikipedia,Emily_Aston,monthly,2020-01-01,all-access,all-agents,270,female
en.wikipedia,Emily_Aston,monthly,2020-02-01,all-access,all-agents,186,female
en.wikipedia,Emily_Aston,monthly,2020-03-01,all-access,all-agents,194,female
en.wikipedia,Emily_Aston,monthly,2020-04-01,all-access,all-agents,280,female
en.wikipedia,Emily_Aston,monthly,2020-05-01,all-access,all-agents,432,female
en.wikipedia,Emily_Aston,monthly,2020-06-01,all-access,all-agents,392,female
en.wikipedia,Emily_Aston,monthly,2020-07-01,all-access,all-agents,222,female
en.wikipedia,Emily_Aston,monthly,2020-08-01,all-access,all-agents,1370,female
en.wikipedia,Emily_Aston,monthly,2020-09-01,all-access,all-agents,2406,female
en.wikipedia,Emily_Aston,monthly,2020-10-01,all-access,all-agents,871,female
en.wikipedia,Emily_Aston,monthly,2020-11-01,all-access,all-agents,536,female
en.wikipedia,Emily_Aston,monthly,2020-12-01,all-access,all-agents,209,female
en.wikipedia,Emily_Aston,monthly,2021-01-01,all-access,all-agents,361,female
en.wikipedia,Emily_Aston,monthly,2021-02-01,all-access,all-agents,186,female
en.wikipedia,Emily_Aston,monthly,2021-03-01,all-access,all-agents,196,female
en.wikipedia,Emily_Aston,monthly,2021-04-01,all-access,all-agents,229,female
en.wikipedia,Emily_Aston,monthly,2021-05-01,all-access,all-agents,300,female
en.wikipedia,Emily_Aston,monthly,2021-06-01,all-access,all-agents,142,female
en.wikipedia,Emily_Aston,monthly,2021-07-01,all-access,all-agents,187,female
en.wikipedia,Emily_Aston,monthly,2021-08-01,all-access,all-agents,162,female
en.wikipedia,Emily_Aston,monthly,2021-09-01,all-access,all-agents,205,female
en.wikipedia,Emily_Aston,monthly,2021-10-01,all-access,all-agents,220,female
en.wikipedia,Emily_Aston,monthly,2021-11-01,all-access,all-agents,149,female
en.wikipedia,Emily_Aston,monthly,2021-12-01,all-access,all-agents,262,female
en.wikipedia,Emily_Aston,monthly,2022-01-01,all-access,all-agents,149,female
en.wikipedia,Emily_Aston,monthly,2022-02-01,all-access,all-agents,154,female
en.wikipedia,Emily_Aston,monthly,2022-03-01,all-access,all-agents,177,female
en.wikipedia,Emily_Aston,monthly,2022-04-01,all-access,all-agents,227,female
en.wikipedia,Emily_Aston,monthly,2022-05-01,all-access,all-agents,244,female
en.wikipedia,Emily_Aston,monthly,2022-06-01,all-access,all-agents,689,female
en.wikipedia,Emily_Aston,monthly,2022-07-01,all-access,all-agents,516,female
en.wikipedia,Emily_Aston,monthly,2022-08-01,all-access,all-agents,390,female
en.wikipedia,Emily_Aston,monthly,2022-09-01,all-access,all-agents,176,female
en.wikipedia,Emily_Aston,monthly,2022-10-01,all-access,all-agents,208,female
en.wikipedia,Emily_Aston,monthly,2022-11-01,all-access,all-agents,184,female
en.wikipedia,Emily_Aston,monthly,2022-12-01,all-access,all-agents,215,female
en.wikipedia,Anna_Atkins,monthly,2020-01-01,all-access,all-agents,3037,female
en.wikipedia,Anna_Atkins,monthly,2020-02-01,all-access,all-agents,2716,female
en.wikipedia,Anna_Atkins,monthly,2020-03-01,all-access,all-agents,3639,female
en.wikipedia,Anna_Atkins,monthly,2020-04-01,all-access,all-agents,3156,female
en.wikipedia,Anna_Atkins,monthly,2020-05-01,all-access,all-agents,2996,female
en.wikipedia,Anna_Atkins,monthly,2020-06-01,all-access,all-agents,2589,female
en.wikipedia,Anna_Atkins,monthly,2020-07-01,all-access,all-agents,2598,female
en.wikipedia,Anna_Atkins,monthly,2020-08-01,all-access,all-agents,2536,female
en.wikipedia,Anna_Atkins,monthly,2020-09-01,all-access,all-agents,5032,female
en.wikipedia,Anna_Atkins,monthly,2020-10-01,all-access,all-agents,4332,female
en.wikipedia,Anna_Atkins,monthly,2020-11-01,all-access,all-agents,3831,female
en.wikipedia,Anna_Atkins,monthly,2020-12-01,all-access,all-agents,2814,female
en.wikipedia,Anna_Atkins,monthly,2021-01-01,all-access,all-agents,2714,female
en.wikipedia,Anna_Atkins,monthly,2021-02-01,all-access,all-agents,2855,female
en.wikipedia,Anna_Atkins,monthly,2021-03-01,all-access,all-agents,4587,female
en.wikipedia,Anna_Atkins,monthly,2021-04-01,all-access,all-agents,3481,female
en.wikipedia,Anna_Atkins,monthly,2021-05-01,all-access,all-agents,3463,female
en.wikipedia,Anna_Atkins,monthly,2021-06-01,all-access,all-agents,3221,female
en.wikipedia,Anna_Atkins,monthly,2021-07-01,all-access,all-agents,2633,female
en.wikipedia,Anna_Atkins,monthly,2021-08-01,all-access,all-agents,2551,female
en.wikipedia,Anna_Atkins,monthly,2021-09-01,all-access,all-agents,3984,female
en.wikipedia,Anna_Atkins,monthly,2021-10-01,all-access,all-agents,3687,female
en.wikipedia,Anna_Atkins,monthly,2021-11-01,all-access,all-agents,3598,female
en.wikipedia,Anna_Atkins,monthly,2021-12-01,all-access,all-agents,2724,female
en.wikipedia,Anna_Atkins,monthly,2022-01-01,all-access,all-agents,3229,female
en.wikipedia,Anna_Atkins,monthly,2022-02-01,all-access,all-agents,3529,female
en.wikipedia,Anna_Atkins,monthly,2022-03-01,all-access,all-agents,4401,female
en.wikipedia,Anna_Atkins,monthly,2022-04-01,all-access,all-agents,2781,female
en.wikipedia,Anna_Atkins,monthly,2022-05-01,all-access,all-agents,2962,female
en.wikipedia,Anna_Atkins,monthly,2022-06-01,all-access,all-agents,4263,female
en.wikipedia,Anna_Atkins,monthly,2022-07-01,all-access,all-agents,2477,female
en.wikipedia,Anna_Atkins,monthly,2022-08-01,all-access,all-agents,2586,female
en.wikipedia,Anna_Atkins,monthly,2022-09-01,all-access,all-agents,4176,female
en.wikipedia,Anna_Atkins,monthly,2022-10-01,all-access,all-agents,3684,female
en.wikipedia,Anna_Atkins,monthly,2022-11-01,all-access,all-agents,3224,female
en.wikipedia,Anna_Atkins,monthly,2022-12-01,all-access,all-agents,2151,female
en.wikipedia,Hertha_Ayrton,monthly,2020-01-01,all-access,all-agents,2945,female
en.wikipedia,Hertha_Ayrton,monthly,2020-02-01,all-access,all-agents,2440,female
en.wikipedia,Hertha_Ayrton,monthly,2020-03-01,all-access,all-agents,2116,female
en.wikipedia,Hertha_Ayrton,monthly,2020-04-01,all-access,all-agents,2259,female
en.wikipedia,Hertha_Ayrton,monthly,2020-05-01,all-access,all-agents,2043,female
en.wikipedia,Hertha_Ayrton,monthly,2020-06-01,all-access,all-agents,1733,female
en.wikipedia,Hertha_Ayrton,monthly,2020-07-01,all-access,all-agents,1993,female
en.wikipedia,Hertha_Ayrton,monthly,2020-08-01,all-access,all-agents,2183,female
en.wikipedia,Hertha_Ayrton,monthly,2020-09-01,all-access,all-agents,1700,female
en.wikipedia,Hertha_Ayrton,monthly,2020-10-01,all-access,all-agents,1875,female
en.wikipedia,Hertha_Ayrton,monthly,2020-11-01,all-access,all-agents,1848,female
en.wikipedia,Hertha_Ayrton,monthly,2020-12-01,all-access,all-agents,1628,female
en.wikipedia,Hertha_Ayrton,monthly,2021-01-01,all-access,all-agents,1710,female
en.wikipedia,Hertha_Ayrton,monthly,2021-02-01,all-access,all-agents,1969,female
en.wikipedia,Hertha_Ayrton,monthly,2021-03-01,all-access,all-agents,2723,female
en.wikipedia,Hertha_Ayrton,monthly,2021-04-01,all-access,all-agents,2411,female
en.wikipedia,Hertha_Ayrton,monthly,2021-05-01,all-access,all-agents,1867,female
en.wikipedia,Hertha_Ayrton,monthly,2021-06-01,all-access,all-agents,1591,female
en.wikipedia,Hertha_Ayrton,monthly,2021-07-01,all-access,all-agents,1201,female
en.wikipedia,Hertha_Ayrton,monthly,2021-08-01,all-access,all-agents,1243,female
en.wikipedia,Hertha_Ayrton,monthly,2021-09-01,all-access,all-agents,1439,female
en.wikipedia,Hertha_Ayrton,monthly,2021-10-01,all-access,all-agents,1483,female
en.wikipedia,Hertha_Ayrton,monthly,2021-11-01,all-access,all-agents,1567,female
en.wikipedia,Hertha_Ayrton,monthly,2021-12-01,all-access,all-agents,1441,female
en.wikipedia,Hertha_Ayrton,monthly,2022-01-01,all-access,all-agents,2544,female
en.wikipedia,Hertha_Ayrton,monthly,2022-02-01,all-access,all-agents,1673,female
en.wikipedia,Hertha_Ayrton,monthly,2022-03-01,all-access,all-agents,2209,female
en.wikipedia,Hertha_Ayrton,monthly,2022-04-01,all-access,all-agents,2285,female
en.wikipedia,Hertha_Ayrton,monthly,2022-05-01,all-access,all-agents,1597,female
en.wikipedia,Hertha_Ayrton,monthly,2022-06-01,all-access,all-agents,1750,female
en.wikipedia,Hertha_Ayrton,monthly,2022-07-01,all-access,all-agents,2292,female
en.wikipedia,Hertha_Ayrton,monthly,2022-08-01,all-access,all-agents,1423,female
en.wikipedia,Hertha_Ayrton,monthly,2022-09-01,all-access,all-agents,1568,female
en.wikipedia,Hertha_Ayrton,monthly,2022-10-01,all-access,all-agents,1610,female
en.wikipedia,Hertha_Ayrton,monthly,2022-11-01,all-access,all-agents,1595,female
en.wikipedia,Hertha_Ayrton,monthly,2022-12-01,all-access,all-agents,1355,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-01-01,all-access,all-agents,161,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-02-01,all-access,all-agents,114,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-03-01,all-access,all-agents,93,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-04-01,all-access,all-agents,136,female
