project,article,granularity,timestamp,access,agent,views
en.wikipedia,John_Romilly_Allen,monthly,2020-01-01,all-access,all-agents,185
en.wikipedia,John_Romilly_Allen,monthly,2020-02-01,all-access,all-agents,125
en.wikipedia,John_Romilly_Allen,monthly,2020-03-01,all-access,all-agents,151
en.wikipedia,John_Romilly_Allen,monthly,2020-04-01,all-access,all-agents,142
en.wikipedia,John_Romilly_Allen,monthly,2020-05-01,all-access,all-agents,151
en.wikipedia,John_Romilly_Allen,monthly,2020-06-01,all-access,all-agents,131
en.wikipedia,John_Romilly_Allen,monthly,2020-07-01,all-access,all-agents,120
en.wikipedia,John_Romilly_Allen,monthly,2020-08-01,all-access,all-agents,104
en.wikipedia,John_Romilly_Allen,monthly,2020-09-01,all-access,all-agents,97
en.wikipedia,John_Romilly_Allen,monthly,2020-10-01,all-access,all-agents,118
en.wikipedia,John_Romilly_Allen,monthly,2020-11-01,all-access,all-agents,135
en.wikipedia,John_Romilly_Allen,monthly,2020-12-01,all-access,all-agents,130
en.wikipedia,John_Romilly_Allen,monthly,2021-01-01,all-access,all-agents,108
en.wikipedia,John_Romilly_Allen,monthly,2021-02-01,all-access,all-agents,135
en.wikipedia,John_Romilly_Allen,monthly,2021-03-01,all-access,all-agents,120
en.wikipedia,John_Romilly_Allen,monthly,2021-04-01,all-access,all-agents,128
en.wikipedia,John_Romilly_Allen,monthly,2021-05-01,all-access,all-agents,152
en.wikipedia,John_Romilly_Allen,monthly,2021-06-01,all-access,all-agents,182
en.wikipedia,John_Romilly_Allen,monthly,2021-07-01,all-access,all-agents,133
en.wikipedia,John_Romilly_Allen,monthly,2021-08-01,all-access,all-agents,139
en.wikipedia,John_Romilly_Allen,monthly,2021-09-01,all-access,all-agents,132
en.wikipedia,John_Romilly_Allen,monthly,2021-10-01,all-access,all-agents,145
en.wikipedia,John_Romilly_Allen,monthly,2021-11-01,all-access,all-agents,132
en.wikipedia,John_Romilly_Allen,monthly,2021-12-01,all-access,all-agents,133
en.wikipedia,John_Romilly_Allen,monthly,2022-01-01,all-access,all-agents,233
en.wikipedia,John_Romilly_Allen,monthly,2022-02-01,all-access,all-agents,147
en.wikipedia,John_Romilly_Allen,monthly,2022-03-01,all-access,all-agents,153
en.wikipedia,John_Romilly_Allen,monthly,2022-04-01,all-access,all-agents,134
en.wikipedia,John_Romilly_Allen,monthly,2022-05-01,all-access,all-agents,163
en.wikipedia,John_Romilly_Allen,monthly,2022-06-01,all-access,all-agents,194
en.wikipedia,John_Romilly_Allen,monthly,2022-07-01,all-access,all-agents,138
en.wikipedia,John_Romilly_Allen,monthly,2022-08-01,all-access,all-agents,146
en.wikipedia,John_Romilly_Allen,monthly,2022-09-01,all-access,all-agents,134
en.wikipedia,John_Romilly_Allen,monthly,2022-10-01,all-access,all-agents,104
en.wikipedia,John_Romilly_Allen,monthly,2022-11-01,all-access,all-agents,92
en.wikipedia,John_Romilly_Allen,monthly,2022-12-01,all-access,all-agents,137
en.wikipedia,Otto_Baumbach,monthly,2020-01-01,all-access,all-agents,87
en.wikipedia,Otto_Baumbach,monthly,2020-02-01,all-access,all-agents,66
en.wikipedia,Otto_Baumbach,monthly,2020-03-01,all-access,all-agents,61
