project,article,granularity,timestamp,access,agent,views
en.wikipedia,Mary_Anning,monthly,2020-01-01,all-access,all-agents,28741
en.wikipedia,Mary_Anning,monthly,2020-02-01,all-access,all-agents,26026
en.wikipedia,Mary_Anning,monthly,2020-03-01,all-access,all-agents,28446
en.wikipedia,Mary_Anning,monthly,2020-04-01,all-access,all-agents,23194
en.wikipedia,Mary_Anning,monthly,2020-05-01,all-access,all-agents,23845
en.wikipedia,Mary_Anning,monthly,2020-06-01,all-access,all-agents,24680
en.wikipedia,Mary_Anning,monthly,2020-07-01,all-access,all-agents,18462
en.wikipedia,Mary_Anning,monthly,2020-08-01,all-access,all-agents,77762
en.wikipedia,Mary_Anning,monthly,2020-09-01,all-access,all-agents,50810
en.wikipedia,Mary_Anning,monthly,2020-10-01,all-access,all-agents,47694
en.wikipedia,Mary_Anning,monthly,2020-11-01,all-access,all-agents,44519
en.wikipedia,Mary_Anning,monthly,2020-12-01,all-access,all-agents,87415
en.wikipedia,Mary_Anning,monthly,2021-01-01,all-access,all-agents,72021
en.wikipedia,Mary_Anning,monthly,2021-02-01,all-access,all-agents,62382
en.wikipedia,Mary_Anning,monthly,2021-03-01,all-access,all-agents,89745
en.wikipedia,Mary_Anning,monthly,2021-04-01,all-access,all-agents,55102
en.wikipedia,Mary_Anning,monthly,2021-05-01,all-access,all-agents,44914
en.wikipedia,Mary_Anning,monthly,2021-06-01,all-access,all-agents,36799
en.wikipedia,Mary_Anning,monthly,2021-07-01,all-access,all-agents,32166
en.wikipedia,Mary_Anning,monthly,2021-08-01,all-access,all-agents,27616
en.wikipedia,Mary_Anning,monthly,2021-09-01,all-access,all-agents,31735
en.wikipedia,Mary_Anning,monthly,2021-10-01,all-access,all-agents,43140
en.wikipedia,Mary_Anning,monthly,2021-11-01,all-access,all-agents,45400
en.wikipedia,Mary_Anning,monthly,2021-12-01,all-access,all-agents,28852
en.wikipedia,Mary_Anning,monthly,2022-01-01,all-access,all-agents,38784
en.wikipedia,Mary_Anning,monthly,2022-02-01,all-access,all-agents,31199
en.wikipedia,Mary_Anning,monthly,2022-03-01,all-access,all-agents,39770
en.wikipedia,Mary_Anning,monthly,2022-04-01,all-access,all-agents,27709
en.wikipedia,Mary_Anning,monthly,2022-05-01,all-access,all-agents,46133
en.wikipedia,Mary_Anning,monthly,2022-06-01,all-access,all-agents,37037
en.wikipedia,Mary_Anning,monthly,2022-07-01,all-access,all-agents,24619
en.wikipedia,Mary_Anning,monthly,2022-08-01,all-access,all-agents,25452
en.wikipedia,Mary_Anning,monthly,2022-09-01,all-access,all-agents,31173
en.wikipedia,Mary_Anning,monthly,2022-10-01,all-access,all-agents,34753
en.wikipedia,Mary_Anning,monthly,2022-11-01,all-access,all-agents,36786
en.wikipedia,Mary_Anning,monthly,2022-12-01,all-access,all-agents,24698
en.wikipedia,Emily_Aston,monthly,2020-01-01,all-access,all-agents,270
en.wikipedia,Emily_Aston,monthly,2020-02-01,all-access,all-agents,186
en.wikipedia,Emily_Aston,monthly,2020-03-01,all-access,all-agents,194
en.wikipedia,Emily_Aston,monthly,2020-04-01,all-access,all-agents,280
en.wikipedia,Emily_Aston,monthly,2020-05-01,all-access,all-agents,432
en.wikipedia,Emily_Aston,monthly,2020-06-01,all-access,all-agents,392
en.wikipedia,Emily_Aston,monthly,2020-07-01,all-access,all-agents,222
en.wikipedia,Emily_Aston,monthly,2020-08-01,all-access,all-agents,1370
en.wikipedia,Emily_Aston,monthly,2020-09-01,all-access,all-agents,2406
en.wikipedia,Emily_Aston,monthly,2020-10-01,all-access,all-agents,871
en.wikipedia,Emily_Aston,monthly,2020-11-01,all-access,all-agents,536
en.wikipedia,Emily_Aston,monthly,2020-12-01,all-access,all-agents,209
en.wikipedia,Emily_Aston,monthly,2021-01-01,all-access,all-agents,361
en.wikipedia,Emily_Aston,monthly,2021-02-01,all-access,all-agents,186
en.wikipedia,Emily_Aston,monthly,2021-03-01,all-access,all-agents,196
en.wikipedia,Emily_Aston,monthly,2021-04-01,all-access,all-agents,229
en.wikipedia,Emily_Aston,monthly,2021-05-01,all-access,all-agents,300
en.wikipedia,Emily_Aston,monthly,2021-06-01,all-access,all-agents,142
en.wikipedia,Emily_Aston,monthly,2021-07-01,all-access,all-agents,187
en.wikipedia,Emily_Aston,monthly,2021-08-01,all-access,all-agents,162
en.wikipedia,Emily_Aston,monthly,2021-09-01,all-access,all-agents,205
en.wikipedia,Emily_Aston,monthly,2021-10-01,all-access,all-agents,220
en.wikipedia,Emily_Aston,monthly,2021-11-01,all-access,all-agents,149
en.wikipedia,Emily_Aston,monthly,2021-12-01,all-access,all-agents,262
en.wikipedia,Emily_Aston,monthly,2022-01-01,all-access,all-agents,149
en.wikipedia,Emily_Aston,monthly,2022-02-01,all-access,all-agents,154
en.wikipedia,Emily_Aston,monthly,2022-03-01,all-access,all-agents,177
en.wikipedia,Emily_Aston,monthly,2022-04-01,all-access,all-agents,227
en.wikipedia,Emily_Aston,monthly,2022-05-01,all-access,all-agents,244
en.wikipedia,Emily_Aston,monthly,2022-06-01,all-access,all-agents,689
